resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_heartrate,max_heartrate,suffer_score
2,Afternoon Ride,14980.0,2020,2048,185.0,Ride,Ride,,2305117603,2019-04-20T15:28:04Z,2019-04-20T16:28:04Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,2,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.06]","[50.29, -5.23]",7.416,12.8,69.6,19.0,154.4,,,311.9,False,False,False,False,147.6,0.0,2453109719.0,2453109719,garmin_push_3574083145,False,0,0,False,1057751,1,a2305117603,u_xqHxiz]jCbRqFda@NfMdF~QxBhBpC}@sJ|eBeHjs@l@zh@pBnMQ`f@rAf_@mD~sA~H|}@hL`r@sFhDaPnZe{@|jBkIbJa`@dK{FvOgo@viA}M|^fCtp@`AzcBtAf_@rO`y@hAzAbDcE,2,,,
2,Morning Ride,14602.9,1860,2946,88.0,Ride,Ride,,2303528402,2019-04-20T05:56:30Z,2019-04-20T06:56:30Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,2,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.05]",7.851,16.1,64.2,10.0,119.0,,,221.3,False,False,False,False,59.8,-94.6,2451452762.0,2451452762,garmin_push_3572246465,False,0,0,False,1057751,1,a2303528402,gw|qHjp|^}BlEgAsBcO{v@wAea@_@soAwDubArOub@zs@_rA`Miq@yByPlJ_Q|Dga@tE}Qfa@scAbc@{qB\gx@pCeh@mEgiArHsn@lBag@jFkf@ZkZ_EcIvEdEdCsOiDo_@mFsThCqQ}DmDkAjEq@iE,2,,,
2,Evening Ride,14820.1,1604,1604,193.0,Ride,Ride,,2297380064,2019-04-17T17:41:31Z,2019-04-17T18:41:31Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,2,2,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.06]","[50.29, -5.23]",9.239,15.2,73.5,11.0,255.0,,,409.0,False,False,False,False,148.0,0.0,2445034860.0,2445034860,garmin_push_3564947580,False,0,0,False,1057751,1,a2297380064,}|wqHjxz]y@`QgBlC}@hW`FbV`DrDfDOwAda@iF`c@}@z\gH|r@l@|h@x@vJfATs@hFPdb@rAb`@eDltAvH~|@lL~p@_GhEaM|XwAf@{ApGmNbVaj@hmAwHhHm_@zJwGrQon@thA}Mb_@lCxo@`AndBxAz_@bOjw@`A~BvDsE,2,,,
2,Morning Ride,14392.9,1879,1879,82.0,Ride,Ride,,2295855855,2019-04-17T05:07:52Z,2019-04-17T06:07:52Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,3,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.05]",7.66,14.3,63.6,8.0,101.6,,,190.9,False,False,False,False,140.8,-17.4,2443455547.0,2443455547,garmin_push_3563089682,False,0,0,False,1057751,1,a2295855855,iu|qHbp|^qDlFkAeDaOev@_Bmc@YsjA{DseAvLa]nw@gyAbLqo@_CcPhIkMpF{e@|EoRh`@}aAtc@srBVkv@tCai@oE{iAvHkn@nBqg@~Feo@UgNkIyIwBaTvBcf@{BkJjBeW\nI,2,,,
2,Afternoon Ride,15030.9,1776,1879,213.4,Ride,Ride,10.0,2284480021,2019-04-12T15:37:32Z,2019-04-12T16:37:32Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,2,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.05]","[50.29, -5.23]",8.463,14.4,,,219.4,,,389.6,False,False,False,False,154.5,4.4,2431563074.0,2431563074,0727d121c1dcef5557694db02e85fd1b,False,0,0,False,1057751,1,a2284480021,w`xqHnhz]p@GjBxSkF~_@PrOvFvQnG\qAv^wFdf@}@n]qHnr@r@pi@vBxMQjg@zA~^oDpuAtHz{@vLdr@wFrCkMpY_Bv@sA|FwNnVgi@dlAoInIc_@tJ{H`S}l@zeAmN|_@bCxo@dAzdBxAz_@jO|w@dAxBnDsE,2,,,
2,Afternoon Ride,14987.7,1879,1879,198.0,Ride,Ride,,2423820700,2019-04-11T15:24:14Z,2019-04-11T16:24:14Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,0,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.05]","[50.29, -5.23]",7.976,12.4,68.9,11.0,182.7,,,343.2,False,False,False,False,155.0,0.0,2576466367.0,2576466367,garmin_push_3715844040,False,0,0,False,1057751,1,a2423820700,e_xqH`hz]LfGV`Az@lCNpDE^Wv@WxCKxBAzBIXU\]Za@ZCD_@nHk@zDEhA@zBHpDHhA^tDl@tCp@zB`@`Aj@dAj@|@l@r@LNXNb@DPAXIVUPi@NQ\NFp@g@jBEh@K`DAfDJvECnBQvDgAfKgBzOWdD[nCMbBGjHs@bMAxA?j@WfBU~C_@`DaDvVa@lEa@hH@d@PtAO~@AjBFpBHdKFxDNxFPvDVfD\jBFPd@t@Fd@]hB@p@VhDPrDDnBC|Ha@lHn@j]@TL^Vh@K^Ul@HtM@lFKtDDFDd@CjAMxAOxCOtAK|Dw@pOYdIEvB?vBF|CXxDx@lIrA~Nf@bEfAjMh@pEhCbSdAzGv@dEzCdMIt@STeAb@_Cp@YTUz@Yr@wAhBgCjGwA|CeAbCOf@a@f@o@FUd@OdAu@hCw@zAkAhBoAfB}CpFqCjFeFxKuGfPkEvKwCfH}IxQyBtDuAhBa@`@_CbBy@v@Ul@a@P{@LmBb@gEdAqI`BqCp@c@\cAfA[@WGI@IJw@pDu@tBoAjCyC|F{D|GoLvSiEhIyAbCuD`HoFbJmBhDwDvI_D|Ho@pB{@jDg@dC^nCXnFZtJh@hSPjCGfANrCXhMl@p_@GvIAvGGlGDlEGxCBtDHvD\hITrDBdCLjCJbDZhCzArJRfAt@~Ct@jEZhA~AvEb@bBhAnGPnB^xBb@rANFZOPUdA{@J]Mu@@MLUNINED@RR,2,,,
2,Morning Ride,14391.2,1790,1790,84.0,Ride,Ride,,2282038248,2019-04-11T05:06:04Z,2019-04-11T06:06:04Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,1,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.05]",8.04,13.3,65.2,3.0,116.8,,,209.0,False,False,False,False,60.8,-97.0,2429055275.0,2429055275,garmin_push_3546394644,False,0,0,False,1057751,1,a2282038248,mv|qHrq|^wCtE}@{AiOux@wAob@a@koAuDibAzNka@hu@ytAdLeo@qBaR~IgO`Eqa@tEiRta@ydAlKek@bVgcAf@iz@pCkf@uEqiAtHgp@fByc@hGom@K{Q{HkLiC_PfB}g@qB{IbBcXMxJ,2,,,
2,Afternoon Ride,14956.4,1857,1857,266.0,Ride,Ride,,2282038174,2019-04-10T15:26:25Z,2019-04-10T16:26:25Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,2,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.06]","[50.29, -5.23]",8.054,12.0,72.8,11.0,183.9,,,341.4,False,False,False,False,149.0,-72.2,2429055223.0,2429055223,garmin_push_3546394574,False,0,0,False,1057751,1,a2282038174,c_xqHhkz]rBlPuFva@RrMrElPpCjCxCYiAx]sFlh@w@~ZoHxr@f@dh@rBnOOte@tAl`@eDluAnIf_AzKno@{FnCkMjYyAn@_{@dkBaJzIs_@bKeIpSkm@|fAoMl^pDdhAZ|jAzAla@pOjx@dApAhDcE,2,,,
2,Morning Ride,14189.8,1756,1756,81.0,Ride,Ride,,2282038132,2019-04-10T05:09:18Z,2019-04-10T06:09:18Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,1,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.05]",8.081,13.7,63.9,4.0,115.7,,,203.2,False,False,False,False,104.8,-50.8,2429055170.0,2429055170,garmin_push_3546394508,False,0,0,False,1057751,1,a2282038132,g}|qHju|^gOi{@sAeb@a@emAqDwbAvN}`@`u@itAnL{o@eCgP`JaOlEub@fGeV|`@wcApJ}h@jVidAd@kz@tCsg@uEwfArHkq@jBce@`Gcm@KaPaIuM_CoOdBsg@sB{IpBqWRtI,2,,,
2,Afternoon Ride,14201.4,1648,1780,184.0,Ride,Ride,,2282038166,2019-04-09T15:19:36Z,2019-04-09T16:19:36Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,1,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.07]","[50.29, -5.23]",8.617,13.8,70.3,13.0,201.0,,,331.3,False,False,False,False,148.4,0.0,2429055111.0,2429055111,garmin_push_3546394444,False,0,0,False,1057751,1,a2282038166,yaxqHhg|]dD~TfDzDnDAgAv\mGpj@s@|ZmHhs@h@~i@lBtKMfg@nA~_@aDruAlIl~@~K|n@sF`DyMrYqA^iAhF{Rv]af@lfAoHvH{_@~JyH`Sum@fgAuMx^rDbiAZdkAtAf_@|Nhw@`BpCfC}E,2,,,
