id,resource_state,name,elapsed_time,moving_time,start_date,start_date_local,distance,start_index,end_index,average_cadence,device_watts,average_watts,pr_rank,achievements,kom_rank,activity.id,activity.resource_state,athlete.id,athlete.resource_state,segment.id,segment.resource_state,segment.name,segment.activity_type,segment.distance,segment.average_grade,segment.maximum_grade,segment.elevation_high,segment.elevation_low,segment.start_latlng,segment.end_latlng,segment.elevation_profile,segment.climb_category,segment.city,segment.state,segment.country,segment.private,segment.hazardous,segment.starred,average_heartrate,max_heartrate
3012755959107702206,2,Descenso real Coll de Soller,475,475,2022-10-05T13:15:57Z,2022-10-05T15:15:57Z,4873.8,1875,2350,57.2,True,132.9,2.0,"[{'type_id': 3, 'type': 'pr', 'rank': 2}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7915641645,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2952525579032924282,2,Descenso real Coll de Soller,476,476,2022-04-22T09:23:24Z,2022-04-22T11:23:24Z,4873.8,1964,2440,67.6,True,173.9,1.0,"[{'type_id': 3, 'type': 'pr', 'rank': 1}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7021815456,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2958383336184029158,2,Descenso real Coll de Soller,478,478,2022-05-08T12:43:59Z,2022-05-08T14:43:59Z,4873.8,1856,2334,59.5,True,109.0,2.0,"[{'type_id': 3, 'type': 'pr', 'rank': 2}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7108572237,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3022509516113163166,2,Descenso real Coll de Soller,478,478,2022-11-01T11:27:06Z,2022-11-01T12:27:06Z,4873.8,2710,3188,54.4,True,91.9,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8052403301,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,116.4,135.0
2933698648224222550,2,Descenso real Coll de Soller,479,479,2022-03-01T09:50:30Z,2022-03-01T10:50:30Z,4873.8,1921,2400,59.5,True,142.1,1.0,"[{'type_id': 3, 'type': 'pr', 'rank': 1}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,6755398466,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3087001214450208582,2,Descenso real Coll de Soller,481,481,2023-04-28T10:29:06Z,2023-04-28T12:29:06Z,4873.8,1801,2282,56.6,True,115.7,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8971540897,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2953366329817353832,2,Descenso real Coll de Soller,482,482,2022-04-24T16:24:36Z,2022-04-24T18:24:36Z,4873.8,1870,2351,60.6,True,109.0,3.0,"[{'type_id': 3, 'type': 'pr', 'rank': 3}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7035154265,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3085898539098594904,2,Descenso real Coll de Soller,487,487,2023-04-25T09:17:32Z,2023-04-25T11:17:32Z,4873.8,1772,2259,56.2,True,120.1,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8953436022,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3022850836301789178,2,Descenso real Coll de Soller,488,488,2022-11-02T07:03:42Z,2022-11-02T08:03:42Z,4873.8,2039,2527,54.3,True,77.5,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8056989690,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,115.3,149.0
3070678207523100384,2,Descenso real Coll de Soller,491,491,2023-03-14T07:48:28Z,2023-03-14T08:48:28Z,4873.8,2055,2546,59.9,True,104.8,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8711957870,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
